idx,D_loss,G_M_loss,G_F_loss,cycle_loss,G_loss,epoch
46,0.5223214626312256,0.26276469230651855,0.2538643479347229,22.70270538330078,23.21933364868164,0
47,0.5177091360092163,0.2593974769115448,0.25832313299179077,23.816041946411133,24.333763122558594,0
48,0.51887047290802,0.2671559751033783,0.24797305464744568,24.39229393005371,24.90742301940918,0
49,0.516418993473053,0.2609092593193054,0.2566857635974884,24.82003402709961,25.337629318237305,0
0,0.5072859525680542,0.2561771273612976,0.2566757798194885,25.014150619506836,25.52700424194336,1
1,0.5147112011909485,0.2557104527950287,0.2548113763332367,25.094425201416016,25.60494613647461,1
2,0.5191634297370911,0.25945594906806946,0.257232666015625,25.394634246826172,25.91132354736328,1
3,0.5156059861183167,0.26409512758255005,0.2549968361854553,25.550888061523438,26.06998062133789,1
4,0.5172677040100098,0.2660202980041504,0.25514188408851624,25.623010635375977,26.14417266845703,1
5,0.509946882724762,0.25906339287757874,0.2512631118297577,25.640899658203125,26.151226043701172,1
6,0.5134850740432739,0.2601587176322937,0.25439339876174927,25.386310577392578,25.900863647460938,1
7,0.5180891156196594,0.2626487612724304,0.26077693700790405,25.2818546295166,25.805280685424805,1
8,0.5203945636749268,0.26049643754959106,0.2551836371421814,25.21552276611328,25.731203079223633,1
9,0.5122029781341553,0.25281602144241333,0.2581316828727722,25.09958267211914,25.610530853271484,1
10,0.5246596336364746,0.26136302947998047,0.25381073355674744,25.098636627197266,25.61380958557129,1
11,0.5206859111785889,0.26207423210144043,0.24979913234710693,25.104419708251953,25.61629295349121,1
12,0.5124353170394897,0.2572854161262512,0.24897047877311707,25.083782196044922,25.590038299560547,1
13,0.5144343972206116,0.2657209038734436,0.2523403465747833,25.084857940673828,25.60291862487793,1
14,0.5145995020866394,0.2596566081047058,0.2563423216342926,25.098365783691406,25.614364624023438,1
15,0.5137237310409546,0.26078328490257263,0.248220294713974,25.073762893676758,25.582765579223633,1
16,0.5186523795127869,0.2572147250175476,0.256242036819458,25.029430389404297,25.54288673400879,1
17,0.5174158811569214,0.2625468969345093,0.255517840385437,24.99003028869629,25.508094787597656,1
18,0.5160447359085083,0.2662183940410614,0.2511445879936218,24.905391693115234,25.422754287719727,1
19,0.5159897208213806,0.2576821744441986,0.2569534480571747,26.097217559814453,26.611852645874023,1
20,0.5190998911857605,0.25932514667510986,0.26272639632225037,27.917346954345703,28.43939781188965,1
21,0.521523118019104,0.2649094760417938,0.2603660225868225,29.168315887451172,29.693592071533203,1
22,0.5105782747268677,0.25879836082458496,0.25138169527053833,29.891944885253906,30.402124404907227,1
23,0.5268425345420837,0.25609108805656433,0.2608379125595093,30.137056350708008,30.65398597717285,1
